gender,songyear,count
male,1987,3437
male,1979,2253
male,1939,29
male,1966,994
male,1948,20
male,2011,1
male,1990,5054
female,1997,4168
female,1989,1922
male,1926,14
female,1971,615
male,2006,25312
female,1987,1543
female,1931,26
male,2002,15690
male,1934,29
female,1943,3
female,1934,6
female,1936,7
female,1935,4
female,1981,888
female,1963,234
male,1998,10244
female,1990,1957
female,2004,8364
female,1975,763
male,2010,6468
female,2009,8350
male,1996,9715
male,1995,8758
male,1964,664
female,1937,9
male,2003,18046
male,1970,1564
male,1931,11
male,1952,37
male,1946,32
male,1937,19
male,1954,92
female,1973,763
female,1982,1152
female,1991,2318
male,1933,2
female,1983,1076
female,1951,12
female,1942,6
male,1969,1408
male,1951,57
female,1929,28
male,2004,19705
female,1994,3584
female,1953,30
female,1972,723
female,1965,404
male,1945,24
female,1979,890
male,1977,1751
female,1967,529
female,2001,6281
male,1988,3737
male,1932,3
male,1976,1499
male,1992,6425
female,1955,58
female,1976,639
male,1965,752
female,2008,9849
male,1941,20
female,1946,10
male,2001,14288
male,1953,91
female,1947,16
male,2007,26692
female,1988,1739
female,1926,6
female,1950,32
female,1928,13
male,1991,6012
male,1980,2054
female,1978,874
female,2006,10256
female,2003,8034
female,1940,5
female,1980,976
female,1944,2
female,1938,1
female,1996,3923
female,1941,13
male,1955,208
male,1997,10345
male,1949,51
female,1925,3
male,1975,1632
male,1999,12345
female,1974,775
female,2002,6578
male,1982,2508
female,2010,2517
male,1924,4
male,1936,23
male,1981,2202
male,1929,67
male,1938,17
male,1994,8165
female,1948,15
male,1978,1890
male,1961,391
female,1970,764
female,1999,5054
male,1935,19
female,1949,10
male,1960,286
female,1969,771
male,1925,4
female,1984,1103
male,1942,22
male,1963,703
male,1962,381
male,1940,43
male,2000,13010
female,1930,7
female,1964,310
female,1945,7
female,1956,95
male,2005,23731
male,1986,2940
female,2000,5186
male,1989,4417
female,1957,122
female,1952,35
male,1972,1497
female,1958,136
male,1930,39
male,1950,61
female,1986,1198
female,1995,4007
female,1959,149
male,2009,20987
female,1954,32
female,1962,196
male,1928,30
female,1933,4
male,1984,2264
male,1993,7087
female,1966,382
male,1927,31
male,1922,11
male,1944,10
male,1957,460
female,1992,2767
male,1973,1692
male,1958,349
female,1932,4
male,2008,23053
female,1998,4726
female,1985,1019
female,1977,731
male,1971,1447
male,1968,1347
female,1968,469
female,1939,10
female,1924,1
female,1960,128
female,1927,10
female,1993,3040
male,1985,2473
female,1961,167
male,1956,415
male,1974,1315
male,1947,48
male,1959,406
male,1943,20
female,2007,10619
male,1967,1117
male,1983,2252
female,2005,9671
