gender,songyear,count
male,1979,2252
male,1987,3556
male,1939,23
male,1966,1018
male,1948,20
male,2011,1
male,1990,4983
female,1997,4645
female,1989,1973
male,1926,7
female,1971,633
male,2006,24863
female,1987,1424
female,1931,5
male,2002,15601
male,1934,23
female,1943,12
female,1936,15
female,1934,12
female,1935,10
female,1981,921
female,1963,252
male,1998,10357
female,1990,2028
female,2004,8967
female,1975,776
male,2010,6084
female,2009,9171
male,1995,8943
male,1996,9588
male,1964,681
female,1937,7
male,2003,18359
male,1970,1620
male,1931,32
male,1952,39
male,1946,38
male,1937,21
male,1954,101
female,1973,766
female,1982,1136
female,1991,2458
male,1933,3
female,1983,967
female,1951,17
female,1942,18
male,1969,1550
male,1951,52
female,1929,14
male,2004,19102
female,1994,3488
female,1953,44
female,1972,685
female,1965,367
male,1945,20
male,1977,1638
female,1979,891
female,1967,466
female,2001,6145
male,1988,3730
male,1932,7
female,1976,729
male,1992,6350
female,1955,123
male,1976,1409
male,1965,789
female,2008,9758
male,1941,22
female,1946,4
male,2001,14424
male,1953,77
female,1947,6
male,2007,25793
female,1988,1746
female,1926,13
female,1928,10
female,1950,8
male,1991,5872
male,1980,2152
female,1978,807
female,2006,10705
female,2003,7721
female,1940,40
female,1980,878
female,1938,12
female,1944,2
female,1996,4050
female,1941,11
male,1955,143
male,1997,9868
male,1949,57
female,1925,1
male,1975,1619
male,1999,12133
female,2002,6667
female,1974,700
male,1982,2524
female,2010,2901
male,1924,5
male,1936,15
male,1981,2169
male,1929,81
male,1938,6
male,1994,8261
female,1948,15
male,1978,1957
male,1961,466
female,1970,708
female,1999,5266
male,1935,13
female,1949,4
male,1960,358
female,1969,629
male,1925,6
female,1984,963
male,1942,10
male,1963,685
male,1962,392
male,1940,8
male,2000,12952
female,1930,21
female,1964,293
female,1956,153
female,1945,11
male,2005,23713
male,1986,2923
female,2000,5244
male,1989,4366
female,1957,180
female,1952,33
male,1972,1535
female,1958,161
male,1950,85
male,1930,25
female,1986,1215
female,1995,3822
female,1959,193
male,2009,20166
female,1954,23
female,1962,185
male,1928,33
female,1933,3
male,1984,2404
male,1993,7034
female,1966,358
male,1927,21
male,1922,11
male,1944,10
male,1957,402
female,1992,2842
male,1973,1689
male,1958,324
male,2008,23144
female,1985,1150
female,1998,4613
female,1977,844
male,1971,1429
male,1968,1362
female,1968,454
female,1939,16
female,1960,56
female,1927,20
female,1993,3093
male,1985,2342
female,1961,92
male,1956,357
male,1974,1390
male,1947,58
male,1959,362
male,1943,11
male,1967,1180
male,1983,2361
female,2005,9689
female,2007,11518
